Technology,Keywords,Category,Subcategory,Website
ASP.NET,asp.net,Web Development,.NET,
ActiveMQ,activemq,Messaging,,
Airflow,airflow,Big Data,Data Pipeline,
Angular,angular|angularjs,Web Development,JavaScript Framework,
Ansible,ansible,DevOps,Infrastructure Automation,https://www.ansible.com/
x,appium,Testing Framework,,
Aurora,aurora,Database,OLTP,
BOSH,bosh,DevOps,Infrastructure Automation,
Babel,babel,Web Development,JavaScript Transpiler,
Backbone.js,backbone.js,Web Development,JavaScript Framework,
Bazel,bazel,DevOps,Build Automation,
Bitbucket,bitbucket,DevOps,Version Control,
Buck,buck,DevOps,Build Automation,
BusinessObjects,businessobjects,Big Data,Visualization,
C,c,Language,,
C#,c#|c#.net,Language,,
C++,c++,Language,,
CUDA,cuda,Language,,
Caffe,caffe,Deep Learning Framework,,
Capistrano,capistrano,DevOps,Automation,
Cassandra,cassandra,Data,NoSQL,
Chef,chef,DevOps,Infrastructure Automation,
Clojure,clojure,Language,,
CloudSearch,cloudsearch,Search Engine,,
CloudWatch,cloudwatch,DevOps,Monitoring/Alerting/Logging,
Cloudata,cloudata,Data,NoSQL,
CoffeeScript,coffescript,Web Development,JavaScript Transpiler,
Confluence,confluence,Collaboration Tool,,
Cordova,cordova,Mobile Development,,
CoreOS,coreos,OS,Linux,
CouchDB,couchdb,Data,NoSQL,
Datadog,datadog,DevOps,Monitoring/Alerting/Logging,
Django,django,Web Development,,https://www.djangoproject.com/
Docker,docker,Containerization,Container Framework,
Dojo Toolkit,dojo,Web Development,JavaScript Framework,
Draft.js,draftjs,Web Development,JavaScript Framework,
DynamoDB,dynamo db|dynamodb,Data,NoSQL,
ELK,elk,DevOps,Monitoring/Alerting/Logging,
Elasticsearch,elasticsearch,Search Engine,,
Ember.js,ember|ember.js|emberjs,Web Development,JavaScript Framework,
Espresso,espresso,Testing Framework,,
Esri,esri,Mapping Technologies,,
Flask,flask,Web Development,,http://flask.pocoo.org/
Flink,flink,Big Data,Streaming,
Ganglia,ganglia,DevOps,Monitoring/Alerting/Logging,
Git,git,DevOps,Version Control,
GitHub,github,DevOps,Version Control,
Golang,golang,Language,,
Google Maps,google maps,Mapping Technologies,,
Gradle,gradle,DevOps,Build Automation,
Grafana,grafana,DevOps,Monitoring/Alerting/Logging,
GraphQL,graphql,Web Development,Query,
Graphite,graphite,DevOps,Monitoring/Alerting/Logging,
Greenplum,greenplum,Data,OLAP,
Grunt,grunt,Web Development,JavaScript Building Tool,
H2O,h2o,Machine Learning,,
HBase,hbase,Data,NoSQL,
Hadoop,hadoop,Big Data,,http://hadoop.apache.org/
Heroku,heroku,PaaS,,
Hive,hive,Data Warehouse,,
Hue,hue,DevOps,Cluster Management,
Hyper-V,hyper-v,Virtualization,,
Hystrix,hystrix,DevOps,Monitoring/Alerting/Logging,
InfoSphere DataStage,datastage,Data,ETL Tool,
Infomatica,informatica,Data,ETL Tool,
Informix,informix,Data,OLTP,
IntelliJ IDEA,intellij,IDE,,
JUnit,junit,Testing Framework,,
Java,java,Language,,
JavaScript,javascript,Language,,
Jenkins,jenkins,DevOps,Build Automation,https://jenkins.io/
Jetty,jetty,Web Server,,
Jingle,jingle,Realtime Communication,,
Jira,jira,Collaboration Tool,,
Julia,julia,Language,,
Kafka,kafka,Streaming,,
Kendo UI,kendo,Web Development,JavaScript Framework,
Keras,keras,Deep Learning Framework,,
Kinesis,kinesis,Streaming,,
Kotlin,kotlin,Language,JavaScript,
Kubernetes,k8s|kubernetes,Containerization,Management Tool,
Kusto,kusto,Big Data,Query,
KVM,kvm,Virtualization,,
Lambda,lambda,Serverless,,
Laravel,laravel,Web Development,PHP Framework,
Lua,lua,Language,,
Luigi,luigi,Big Data,Data Pipeline,
LXC,lxc,Containerization,,
MATLAB,matlab,Scientific Toolkit,,
MXNet,mxnet,Deep Learning Framework,,
Mahout,mahout,Machine Learning,,
Mapbox,mapbox,Mapping Technologies,,
Maven,maven,DevOps,Build Automation,
Memcached,memcached,Cache,,
Mercurial,mercurial,DevOps,Version Control,
Mesos,mesos,Containerization,Management Tool,
Mesosphere,mesosphere,Containerization,Cluster Management,
Meteor,meteor,Web Development,JavaScript Framework,
MicroStrategy,microstrategy,Big Data,Visualization,
MobX,mobx,Web Development,JavaScript Framework,
MongoDB,mongo db|mongodb,Data,NoSQL,
MySQL,mysql,Data,OLTP,
Nagios,nagios,DevOps,Monitoring/Alerting/Logging,
Netezza,netezza,Data Warehouse,,
New Relic,new relic,DevOps,Monitoring/Alerting/Logging,
Nginx,nginx,Web Server,,
Node.js,node js|node.js|nodejs,Web Development,,
OAuth,oauth,Security,Authentication,
Objective-C,objective c|objective-c,Language,,
